sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00007699/2026-08,CAD,5º CPR,21º BPM,500,JUNINA,27ª Festa Junina Cristo Redentor ,Conjunto 22 Casa 07,São Sebastião,2026-06-05 19:00:00,2026-06-05 00:00:00,PUBF,,2026-05-04,-15.78,-47.91
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-05 20:00:00,2026-06-05 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00007901/2026-93,CAD,5º CPR,21º BPM,1000,JUNINA,"Uai, Botanic!",Avenida Dom Bosco quadra 2 lote 128,Jardim Botânico,2026-06-06 16:00:00,2026-06-06 23:00:00,PRIF,,2026-05-05,-15.88,-47.82
00050-00006079/2026-43,CAD,5º CPR,21º BPM,1000,JUNINA,4º ARRAIÁ DO MOVIMENTO COMUNITÁRIO DO JARDIM BOTÂNICO.,"SHJM - Centro de Práticas Sustentáveis, Av. do Cerrado s/n, Jardins Mangueiral - CEP: 71687-130 - Jardim Botânico-DF",Jardim Botânico,2026-06-06 17:00:00,2026-06-06 23:00:00,PRIF,,2026-04-08,-15.89,-47.82
00050-00007699/2026-08,CAD,5º CPR,21º BPM,500,JUNINA,27ª Festa Junina Cristo Redentor ,Conjunto 22 Casa 07,São Sebastião,2026-06-06 19:00:00,2026-06-06 00:00:00,PUBF,,2026-05-04,-15.78,-47.91
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-06 20:00:00,2026-06-06 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00007699/2026-08,CAD,5º CPR,21º BPM,500,JUNINA,27ª Festa Junina Cristo Redentor ,Conjunto 22 Casa 07,São Sebastião,2026-06-07 19:00:00,2026-06-07 23:00:00,PUBF,,2026-05-04,-15.78,-47.91
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-07 20:00:00,2026-06-07 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00008886/2026-09,CAD,5º CPR,14º BPM,1000,JUNINA,festival candangão junino 2026,ST RECREATIVO ESTACIONAMENTO DO FUNÇÕES MÚLTIPLAS DE PLANALTINA DF CEP 73310-100,Planaltina,2026-06-12 18:00:00,2026-06-12 02:00:00,PUBA,,2026-05-20,-15.62,-47.65
00050-00008812/2026-64,CAD,5º CPR,14º BPM,190,JUNINA,Festa junina 2026 - Comunidade São Leonardo Murialdo,Entre Quadra 02 AE 02 Setor Residencial Norte-A (Jardim Roriz) Planaltina/DF - CEP 73340-250,Planaltina,2026-06-12 19:00:00,2026-06-12 23:59:00,PUBA,,2026-05-18,-15.60,-47.65
00050-00007960/2026-61,CAD,5º CPR,21º BPM,950,JUNINA,33º ARRAIA DOS CAIPIRAS DO BOSQUE ,PAQUE DE EXPOSIÇOES  DE SÃO SEBASTIÃO,São Sebastião,2026-06-12 20:00:00,2026-06-12 03:00:00,PUBA,,2026-05-06,-15.91,-47.76
00050-00008871/2026-32,CAD,5º CPR,20º BPM,200,JUNINA,Batizado do Boi do Encanto do Itapoã,"quadra3, conjunto C casa 45 itapoã",Itapoã,2026-06-13 13:00:00,2026-06-13 00:00:00,PUBA,,2026-05-18,-15.75,-47.76
00050-00008853/2026-51,CAD,5º CPR,14º BPM,190,JUNINA,Festa do Sagrado Coração de Jesus,"Planaltina-DF, Condomínio Mestre D'armas, Módulo B, Lote 14",Planaltina,2026-06-13 17:00:00,2026-06-13 00:30:00,PUBF,,2026-05-20,-15.60,-47.68
