sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00003078/2023-02,ENC,1º CPR,24º BPM,4000,JUNINA,FESTA JUNINA,LAGO NORTE - DF - SHIN QI 03 LOTE A - ÁREA ESPECIAL,Lago Norte,2023-05-05 18:00:00,2023-05-05 23:59:00,PRIF,,2023-03-15,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"Asa Sul/DF - SGAS 908, Av. W5 Sul, Lote 24 e 25",Plano Piloto - Asa Sul,2023-05-25 18:00:00,2023-05-25 23:59:00,PRIF,,2023-04-04,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-26 18:00:00,2023-05-26 23:59:00,PRIF,,2023-04-04,,
00050-00005324/2023-52,ENC,1º CPR,1º BPM,3000,JUNINA,ARRAIÁ DA GPS,"PLANO PILOTO-DF, SCES TRECHO 02 - CLUBE ASBAC",Plano Piloto - Asa Sul,2023-05-27 15:00:00,2023-05-28 05:00:00,PRIF,,2023-05-09,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-05-27 17:00:00,2023-05-28 01:00:00,,,2023-05-05,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-27 18:00:00,2023-05-27 23:59:00,PRIF,,2023-04-04,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-05-28 17:00:00,2023-05-29 01:00:00,,,2023-05-05,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-28 18:00:00,2023-05-28 23:59:00,PRIF,,2023-04-04,,
00050-00006395/2023-72,ENC,1º CPR,1º BPM,500,JUNINA,FESTA JULHINA DA 402 SUL,ASA SUL - DF - QUADRA POLIESPORTIVA - GRAMADO EM FRENTE A QUADRA SQS 402,Plano Piloto - Asa Sul,2023-06-01 17:00:00,2023-06-01 22:00:00,PUBA,,2023-05-24,,
00050-00005337/2023-21,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DO IATE CLUBE,"PLANO PILOTO-DF, SCES TRECHO 02 CONJ. 04 - IATE CLUBE DE BRASÍLIA",Plano Piloto - Asa Norte,2023-06-01 19:00:00,2023-06-01 23:59:00,PRIF,,2023-05-04,,
00050-00005353/2023-14,ENC,1º CPR,1º BPM,6000,JUNINA,FESTA JUNINA DO IATE CLUBE,"PLANO PILOTO-DF, SCES TRECHO 02 CONJ. 04 - IATE CLUBE DE BRASÍLIA",Plano Piloto - Asa Sul,2023-06-01 19:00:00,2023-06-02 02:00:00,PRIF,,2023-05-05,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-02 17:00:00,2023-06-02 23:59:00,PUBA,,2023-05-16,,
00050-00005204/2023-55,ENC,1º CPR,6º BPM,500,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO ROSÁRIO DE POMPEIA,"VILA PLANALTO/DF - CONJUNTO FAZENDINHA, CASA 02, ACAMPAMENTO PACHECO FERNANDES - CAPELA SÃO JOSÉ",Vila Planalto,2023-06-02 18:00:00,2023-06-03 01:00:00,PRIF,,2023-05-04,,
00050-00005524/2023-13,ENC,1º CPR,5º BPM,400,JUNINA,FESTA JUNINA DA PARÓQUIA SÃO PEDRO DE ALCÂNTARA,"LAGO SUL/DF - SHIS QI 07, CONJUNTO 17, LOTE C",Lago Sul,2023-06-02 18:00:00,2023-06-02 23:59:00,PRIA,,2023-05-11,,
00050-00004722/2023-51,ENC,1º CPR,5º BPM,300,JUNINA,ARRAIÁ DE NAZARÉ,Lago Sul - DF - SHIS QI 01 Conj 01 Lote A,Lago Sul,2023-06-02 19:00:00,2023-06-02 23:59:00,,,2023-04-19,,
00050-00005337/2023-21,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DO IATE CLUBE,"SGAN 913, MÓDULO C, ASA NORTE",Plano Piloto - Asa Norte,2023-06-02 19:00:00,2023-06-02 23:59:00,PRIF,,2023-05-04,,
00050-00005353/2023-14,ENC,1º CPR,1º BPM,6000,JUNINA,FESTA JUNINA DO IATE CLUBE,"PLANO PILOTO-DF, SCES TRECHO 02 CONJ. 04 - IATE CLUBE DE BRASÍLIA",Plano Piloto - Asa Sul,2023-06-02 19:00:00,2023-06-03 02:00:00,PRIF,,2023-05-05,,
00050-00005908/2023-28,ENC,1º CPR,1º BPM,550,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO GUADALUPE - ASA SUL,ASA SUL - DF - EQS 311/312 - ÁREA VERDE DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-02 19:00:00,2023-06-02 23:59:00,PUBA,,2023-05-16,,
00050-00007046/2023-78,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DA PARÓQUIA DO VERBO DIVINO,Asa Norte - DF - SGAN 609 Módulo C,Plano Piloto - Asa Norte,2023-06-02 19:00:00,2023-06-03 01:00:00,PUBA,,2023-06-07,,
00054-00063952/2023-40,ENC,1º CPR,3º BPM,3000,JUNINA,FESTA JUNINA - NOSSA SENHORA CONSOLATA,"SGAN 913, MÓDULO C, ASA NORTE",Plano Piloto - Asa Norte,2023-06-03 00:00:00,2023-06-03 23:50:00,PRIA,,2023-05-10,,
00054-00063952/2023-40,ENC,1º CPR,3º BPM,3000,JUNINA,FESTA JUNINA - NOSSA SENHORA CONSOLATA,"ASA NORTE/DF - SHC/N - EQ 307/8, AE 1",Plano Piloto - Asa Norte,2023-06-03 00:00:00,2023-06-03 23:50:00,PRIA,,2023-05-10,,
00050-00005572/2023-01,ENC,1º CPR,1º BPM,600,JUNINA/ESCOLA,ARRAIÁ ELEVA,"PLANO PILOTO-DF, SGAS 613/614 LOTE 100",Plano Piloto - Asa Sul,2023-06-03 08:00:00,2023-06-03 20:00:00,PRIF,,2023-05-11,,
00080-00106856/2023-02,ENC,1º CPR,24º BPM,400,JUNINA/ESCOLA,FESTA JUNINA - EC OLHOS D’ÁGUA,CHÁCARA OLHOS D'ÁGUA Nº 22 - LAGO NORTE,Lago Norte,2023-06-03 10:00:00,2023-06-03 17:00:00,PUBA,,2023-05-22,,
00050-00005561/2023-13,ENC,1º CPR,5º BPM,450,JUNINA/ESCOLA,FESTA JUNINA 2023 DO COLÉGIO MARIA IMACULADA,"LAGO SUL/DF - SHIS QI 5, CHÁCARA 72",Lago Sul,2023-06-03 11:00:00,2023-06-03 16:00:00,PRIA,,2023-05-11,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-06-03 17:00:00,2023-06-04 01:00:00,,,2023-05-05,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-03 17:00:00,2023-06-03 23:59:00,PUBA,,2023-05-16,,
00050-00005204/2023-55,ENC,1º CPR,6º BPM,500,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO ROSÁRIO DE POMPEIA,"VILA PLANALTO/DF - CONJUNTO FAZENDINHA, CASA 02, ACAMPAMENTO PACHECO FERNANDES - CAPELA SÃO JOSÉ",Vila Planalto,2023-06-03 18:00:00,2023-06-04 01:00:00,PRIF,,2023-05-04,,
00050-00005524/2023-13,ENC,1º CPR,5º BPM,400,JUNINA,FESTA JUNINA DA PARÓQUIA SÃO PEDRO DE ALCÂNTARA,"LAGO SUL/DF - SHIS QI 07, CONJUNTO 17, LOTE C",Lago Sul,2023-06-03 18:00:00,2023-06-03 23:59:00,PRIA,,2023-05-11,,
00050-00006003/2023-75,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA JUNINA - ARRAIA DA AGEPOL,BRASÍLIA - DF - SETOR DE CLUBES ESPORTIVOS SUL - SCES TRECHO 02 CONJ 9 LOTE 19 - CLUBE AGEPOL,Plano Piloto - Asa Sul,2023-06-03 18:00:00,2023-06-04 04:00:00,PRIA,,2023-06-01,,
00050-00004722/2023-51,ENC,1º CPR,5º BPM,300,JUNINA,ARRAIÁ DE NAZARÉ,Lago Sul - DF - SHIS QI 01 Conj 01 Lote A,Lago Sul,2023-06-03 19:00:00,2023-06-03 23:59:00,,,2023-04-19,,
00050-00005353/2023-14,ENC,1º CPR,1º BPM,6000,JUNINA,FESTA JUNINA DO IATE CLUBE,"PLANO PILOTO-DF, SCES TRECHO 02 CONJ. 04 - IATE CLUBE DE BRASÍLIA",Plano Piloto - Asa Sul,2023-06-03 19:00:00,2023-06-04 02:00:00,PRIF,,2023-05-05,,
00050-00005908/2023-28,ENC,1º CPR,1º BPM,550,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO GUADALUPE - ASA SUL,ASA SUL - DF - EQS 311/312 - ÁREA VERDE DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-03 19:00:00,2023-06-03 23:59:00,PUBA,,2023-05-16,,
00050-00007046/2023-78,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DA PARÓQUIA DO VERBO DIVINO,Asa Norte - DF - SGAN 609 Módulo C,Plano Piloto - Asa Norte,2023-06-03 19:00:00,2023-06-04 01:00:00,PUBA,,2023-06-07,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-06-04 17:00:00,2023-06-05 01:00:00,,,2023-05-05,,
00050-00005738/2023-81,ENC,1º CPR,3º BPM,800,JUNINA,FESTA JUNINA (QUERMESSE),"ASA NORTE/DF - SHC/N - EQ 307/8, AE 1",Plano Piloto - Asa Norte,2023-06-04 17:00:00,2023-06-04 23:59:00,PRIA,,2023-05-16,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-04 17:00:00,2023-06-04 23:59:00,PUBA,,2023-05-16,,
00050-00005204/2023-55,ENC,1º CPR,6º BPM,500,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO ROSÁRIO DE POMPEIA,"VILA PLANALTO/DF - CONJUNTO FAZENDINHA, CASA 02, ACAMPAMENTO PACHECO FERNANDES - CAPELA SÃO JOSÉ",Vila Planalto,2023-06-04 18:00:00,2023-06-05 01:00:00,PRIF,,2023-05-04,,
00050-00004722/2023-51,ENC,1º CPR,5º BPM,300,JUNINA,ARRAIÁ DE NAZARÉ,Lago Sul - DF - SHIS QI 01 Conj 01 Lote A,Lago Sul,2023-06-04 19:00:00,2023-06-04 23:59:00,,,2023-04-19,,
00050-00005908/2023-28,ENC,1º CPR,1º BPM,550,JUNINA,FESTA JUNINA - PARÓQUIA NOSSA SENHORA DO GUADALUPE - ASA SUL,ASA SUL - DF - EQS 311/312 - ÁREA VERDE DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-04 19:00:00,2023-06-04 23:59:00,PUBA,,2023-05-16,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-05 17:00:00,2023-06-05 23:59:00,PUBA,,2023-05-16,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-06 17:00:00,2023-06-06 23:59:00,PUBA,,2023-05-16,,
00050-00006625/2023-01,ENC,1º CPR,3º BPM,200,JUNINA,FESTA JUNINAN - ARRAIÁ SOLIDÁRIO BB 2023,"ASA NORTE – DF - JARDIM DE ACESSO EM FRENTE AO ED. SEDE DO BANCO DO BRASIL - SAUN QUADRA 5, E BLOCO B, TORRE SUL",Plano Piloto - Asa Norte,2023-06-07 16:30:00,2023-06-07 21:30:00,PUBA,,2023-05-31,,
00050-00005738/2023-81,ENC,1º CPR,3º BPM,800,JUNINA,FESTA JUNINA (QUERMESSE),"ASA NORTE/DF - SGAN, 607, PROJEÇÃO ""D"" - COORDENAÇÃO REGIONAL DE ENSINO DO PLANO PILOTO",Plano Piloto - Asa Norte,2023-06-07 17:00:00,2023-06-07 23:59:00,PRIA,,2023-05-16,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-07 17:00:00,2023-06-07 23:59:00,PUBA,,2023-05-16,,
00050-00006303/2023-54,ENC,1º CPR,3º BPM,150,JUNINA,FESTA JUNINA 2023 - ESCOLA 411 NORTE,SHCN SQN 411 -  ASA NORTE,Plano Piloto - Asa Norte,2023-06-07 17:00:00,2023-06-07 23:00:00,PUBA,,2023-05-24,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-08 17:00:00,2023-06-08 23:59:00,PUBA,,2023-05-16,,
00050-00005902/2023-51,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA DE SANTO ANTÔNIO - ASA SUL,ASA SUL - DF - SGAS 911 SUL - MODULO B - NA QUADRA DE ESPORTES DA PARÓQUIA,Plano Piloto - Asa Sul,2023-06-09 17:00:00,2023-06-09 23:59:00,PUBA,,2023-05-16,,
00050-00005621/2023-06,ENC,1º CPR,5º BPM,500,JUNINA,FESTA JUNINA 2023 - PARÓQUIA NOSSA SENHORA DO ROSÁRIO,"LAGO SUL/DF - SHIS. QI 26, LOTE H - ÁREA ESPECIAL",Lago Sul,2023-06-09 18:00:00,2023-06-10 02:00:00,PRIF,,2023-05-11,,
00050-00007046/2023-78,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DA PARÓQUIA DO VERBO DIVINO,Asa Norte - DF - SGAN 609 Módulo C,Plano Piloto - Asa Norte,2023-06-09 19:00:00,2023-06-10 01:00:00,PUBA,,2023-06-07,,
00050-00004983/2023-71,ENC,1º CPR,6º BPM,400,JUNINA/ESCOLA,CRECHE PIONEIRA DA VILA PLANALTO,"VILA PLANALTO/DF - ÁREA ESPECIAL S/N, AVENIDA RABELO - ACAMPAMENTO RABELO",Vila Planalto,2023-06-09 20:00:00,2023-06-10 01:00:00,,,2023-04-27,,
00050-00005621/2023-06,ENC,1º CPR,5º BPM,500,JUNINA,FESTA JUNINA 2023 - PARÓQUIA NOSSA SENHORA DO ROSÁRIO,"LAGO SUL/DF - SHIS. QI 26, LOTE H - ÁREA ESPECIAL",Lago Sul,2023-06-10 18:00:00,2023-06-11 02:00:00,PRIF,,2023-05-11,,
00050-00005904/2023-40,ENC,1º CPR,1º BPM,200,JUNINA,ARRAIÁ DO AVIZ,ASA SUL - DF - SETOR DE CLUBES ESPORTIVOS SUL - TRECHO 02 - SCES - CLUBE ASCADE,Plano Piloto - Asa Sul,2023-06-10 18:00:00,2023-06-11 02:00:00,PRIF,,2023-05-16,,
00050-00007046/2023-78,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DA PARÓQUIA DO VERBO DIVINO,Asa Norte - DF - SGAN 609 Módulo C,Plano Piloto - Asa Norte,2023-06-10 19:00:00,2023-06-11 01:00:00,PUBA,,2023-06-07,,
00050-00004983/2023-71,ENC,1º CPR,6º BPM,400,JUNINA/ESCOLA,CRECHE PIONEIRA DA VILA PLANALTO,"VILA PLANALTO/DF - ÁREA ESPECIAL S/N, AVENIDA RABELO - ACAMPAMENTO RABELO",Vila Planalto,2023-06-10 20:00:00,2023-06-11 01:00:00,,,2023-04-27,,
00050-00005621/2023-06,ENC,1º CPR,5º BPM,500,JUNINA,FESTA JUNINA 2023 - PARÓQUIA NOSSA SENHORA DO ROSÁRIO,"LAGO SUL/DF - SHIS. QI 26, LOTE H - ÁREA ESPECIAL",Lago Sul,2023-06-11 18:00:00,2023-06-12 02:00:00,PRIF,,2023-05-11,,
00050-00004983/2023-71,ENC,1º CPR,6º BPM,400,JUNINA/ESCOLA,CRECHE PIONEIRA DA VILA PLANALTO,"VILA PLANALTO/DF - ÁREA ESPECIAL S/N, AVENIDA RABELO - ACAMPAMENTO RABELO",Vila Planalto,2023-06-11 20:00:00,2023-06-12 01:00:00,,,2023-04-27,,
00050-00005839/2023-52,ENC,1º CPR,1º BPM,800,JUNINA,FESTA JULINA DA PARÓQUIA SÃO CAMILO DE LELLIS,"ASA SUL/DF - EQS 303/304, LOTE A",Plano Piloto - Asa Sul,2023-06-14 17:00:00,2023-06-14 23:59:00,PUBA,,2023-05-16,,
00050-00005839/2023-52,ENC,1º CPR,1º BPM,800,JUNINA,FESTA JULINA DA PARÓQUIA SÃO CAMILO DE LELLIS,"ASA SUL/DF - EQS 303/304, LOTE A",Plano Piloto - Asa Sul,2023-06-15 17:00:00,2023-06-15 23:59:00,PUBA,,2023-05-16,,
00050-00006087/2023-47,ENC,1º CPR,3º BPM,900,JUNINA/ESCOLA,FESTA JUNINA DO JI 312 NORTE,ASA NORTE - DF - ESTACIONAMENTO ENTRE O BLOCO F E O JARDIM DE INFÂNCIA 312 NORTE,Plano Piloto - Asa Norte,2023-06-16 16:30:00,2023-06-16 22:00:00,PUBA,,2023-05-19,,
00050-00005839/2023-52,ENC,1º CPR,1º BPM,800,JUNINA,FESTA JULINA DA PARÓQUIA SÃO CAMILO DE LELLIS,"ASA SUL/DF - EQS 303/304, LOTE A",Plano Piloto - Asa Sul,2023-06-16 17:00:00,2023-06-16 23:59:00,PUBA,,2023-05-16,,
00150-00003102/2023-59,ENC,1º CPR,6º BPM,100,JUNINA,FESTA JUNINA DA BNB,PRAÇA DA LÍNGUA PORTUGUESA DA BIBLIOTECA NACIONAL DE BRASÍLIA.,Plano Piloto - Zona Central,2023-06-16 17:00:00,2023-06-16 23:00:00,PUBA,,2023-06-16,,
00050-00005973/2023-53,ENC,1º CPR,7º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO PIO DE PIETRELCINA,"SUDOESTE/DF - QRSW 01, LOTE 01 - EM FRENTE À CAIXA ECONÔMICA FEDERAL",Sudoeste/Octogonal,2023-06-16 18:00:00,2023-06-16 23:59:00,PRIF,,2023-05-17,,
00050-00006031/2023-92,ENC,1º CPR,6º BPM,1000,JUNINA,FESTA DA PADROEIRA - FESTA JUNINA,BRASÍLIA/DF - EIXO MONUMENTAL S/N - SMU,Plano Piloto - Zona Central,2023-06-16 18:00:00,2023-06-17 02:00:00,PUBA,,2023-05-18,,
00050-00005339/2023-11,ENC,1º CPR,5º BPM,600,JUNINA,10º ARRAIÁ BELVEDERE GREEN,LAGO SUL - DF - CONDOMÍNIO BELVEDERE GREEN - ESTRADA DO SOL KM 07 - JARDIM BOTÂNICO,Lago Sul,2023-06-16 19:00:00,2023-06-17 01:30:00,PUBA,,2023-05-04,,
00050-00005911/2023-41,ENC,1º CPR,1º BPM,7000,JUNINA,ARRAIÁ LEGIS 2023,ASA SUL - DF - SETOR DE CLUBES ESPORTIVOS SUL - TRECHO 2 CONJUNTO 10 - CLUBE ASCADE,Plano Piloto - Asa Sul,2023-06-16 19:00:00,2023-06-17 04:00:00,PRIF,,2023-05-16,,
00050-00005646/2023-00,ENC,1º CPR,5º BPM,600,JUNINA,10º ARRAIÁ BELVEDERE GREEN,"LAGO SUL-DF, ESTRADA DO SOL KM 07, CONDOMÍNIO BELVEDERE GREEN - JARDIM BOTÂNICO",Lago Sul,2023-06-16 19:00:00,2023-06-17 01:30:00,PUBA,,2023-05-18,,
00050-00006400/2023-47,ENC,1º CPR,5º BPM,400,JUNINA/ESCOLA,FESTA JUNINA DO JARDIM DE INFÂNCIA VI COMAR,LAGO SUL - DF - SHIS QI 03 - ÁREA ESPECIAL,Lago Sul,2023-06-17 08:00:00,2023-06-17 16:00:00,PRIA,,2023-05-25,,
00050-00005958/2023-13,ENC,1º CPR,3º BPM,900,JUNINA,FESTA JUNINA - ASA NORTE,ASA NORTE - DF - EQN 108/308 LOTE C,Plano Piloto - Asa Norte,2023-06-17 08:30:00,2023-06-17 17:00:00,PUBA,,2023-05-16,,
00054-00071347/2023-42,ENC,1º CPR,5º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,EQ/L 6/8 LAGO SUL,Lago Sul,2023-06-17 09:00:00,2023-06-17 18:00:00,,,2023-01-08,,
00050-00005103/2023-84,ENC,1º CPR,1º BPM,6000,JUNINA/ESCOLA,FESTA JUNINA - LA SALLE - ASA SUL,ASA SUL - DF - SGAS QUADRA 906 CONJUNTO E - COLÉGIO LA SALLE,Plano Piloto - Asa Sul,2023-06-17 09:00:00,2023-06-17 21:00:00,PRIF,,2023-05-03,,
00054-00071347/2023-42,ENC,1º CPR,1º BPM,0,JUNINA/ESCOLA,EC CACHOEIRINHA,SGAS 914 CONJ. A LTS 63/64,Plano Piloto - Asa Sul,2023-06-17 10:00:00,2023-06-17 19:00:00,,,2023-01-08,,
00054-00067496/2023-15,ENC,1º CPR,1º BPM,350,JUNINA/ESCOLA,FESTA JUNINA - COLEGIO NOTRE DAME,SGAS 914 ASA SUL,Plano Piloto - Asa Sul,2023-06-17 10:00:00,2023-06-17 19:00:00,,,2023-05-25,,
00050-00006009/2023-42,ENC,1º CPR,1º BPM,1000,JUNINA/ESCOLA,ARRAIÁ DO CEF 04 DE BRASÍLIA - FESTA JUNINA,ASA SUL - DF - SQS 113 - ÁREA ESPECIAL SEM NÚMERO,Plano Piloto - Asa Sul,2023-06-17 12:00:00,2023-06-17 20:00:00,PUBA,,2023-05-17,,
00050-00007197/2023-26,ENC,1º CPR,1º BPM,250,JUNINA/ESCOLA,FESTA JUNINA - ARRAIÁ DO CEF 04,Asa Sul - DF - SQS 113 - A/E - Centro Fundamental de Ensino 04 de Brasília,Plano Piloto - Asa Sul,2023-06-17 12:00:00,2023-06-17 20:00:00,PUBA,,2023-06-13,,
00050-00005366/2023-93,ENC,1º CPR,1º BPM,1000,JUNINA,FESTA JUNINA BENEFICENTE,"PLANO PILOTO-DF, SGAS 615 BLOCO G MODULO 110/111",Plano Piloto - Asa Sul,2023-06-17 12:00:00,2023-06-17 23:00:00,PRIF,,2023-05-05,,
00050-00006729/2023-16,ENC,1º CPR,1º BPM,150,JUNINA,FESTA JUNINA DA SQS 303,ASA SUL - DF - PRAÇA CENTRAL DA SQS 303 - AO LADO DA SEDE DA PREFEITURA,Plano Piloto - Asa Sul,2023-06-17 16:00:00,2023-06-17 22:00:00,PUBA,,2023-06-02,,
00050-00005643/2023-68,ENC,1º CPR,1º BPM,2000,JUNINA/ESCOLA,ARRAIÁ DO ÚNICO,ASA SUL - DF - SGAS 606 CONJUNTO F - PARTE A - CENTRO EDUCACIONAL ÚNICO,Plano Piloto - Asa Sul,2023-06-17 16:00:00,2023-06-17 23:59:00,PUBF,,2023-05-11,,
00050-00005957/2023-61,ENC,1º CPR,3º BPM,980,JUNINA/ESCOLA,ARRAIÁ SAFA - CENTRO EDUCACIONAL SAGRADA FAMÍLIA,ASA NORTE - DF - SGAN 905 CONJ C W5,Plano Piloto - Asa Norte,2023-06-17 16:00:00,2023-06-17 22:00:00,PRIF,,2023-05-16,,
00050-00006956/2023-33,ENC,1º CPR,3º BPM,40,JUNINA,FESTA JUNINA COMUNITÁRIA DA 308 NORTE,SQN 308 - AREA VERDE ASA NORTE,Plano Piloto - Asa Norte,2023-06-17 17:00:00,2023-06-17 21:00:00,PUBA,,2023-06-13,,
00050-00005973/2023-53,ENC,1º CPR,7º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO PIO DE PIETRELCINA,"SUDOESTE/DF - QRSW 01, LOTE 01 - EM FRENTE À CAIXA ECONÔMICA FEDERAL",Sudoeste/Octogonal,2023-06-17 18:00:00,2023-06-17 23:59:00,PRIF,,2023-05-17,,
00050-00006031/2023-92,ENC,1º CPR,6º BPM,1000,JUNINA,FESTA DA PADROEIRA - FESTA JUNINA,BRASÍLIA/DF - EIXO MONUMENTAL S/N - SMU,Plano Piloto - Zona Central,2023-06-17 18:00:00,2023-06-18 02:00:00,PUBA,,2023-05-18,,
00050-00005339/2023-11,ENC,1º CPR,5º BPM,600,JUNINA,10º ARRAIÁ BELVEDERE GREEN,LAGO SUL - DF - CONDOMÍNIO BELVEDERE GREEN - ESTRADA DO SOL KM 07 - JARDIM BOTÂNICO,Lago Sul,2023-06-17 19:00:00,2023-06-18 01:30:00,PUBA,,2023-05-04,,
00050-00005973/2023-53,ENC,1º CPR,7º BPM,1000,JUNINA,FESTA JUNINA - PARÓQUIA SÃO PIO DE PIETRELCINA,"SUDOESTE/DF - QRSW 01, LOTE 01 - EM FRENTE À CAIXA ECONÔMICA FEDERAL",Sudoeste/Octogonal,2023-06-18 18:00:00,2023-06-18 23:59:00,PRIF,,2023-05-17,,
00050-00006031/2023-92,ENC,1º CPR,6º BPM,1000,JUNINA,FESTA DA PADROEIRA - FESTA JUNINA,BRASÍLIA/DF - EIXO MONUMENTAL S/N - SMU,Plano Piloto - Zona Central,2023-06-18 18:00:00,2023-06-19 02:00:00,PUBA,,2023-05-18,,
00050-00004475/2023-93,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA APCEF/DF - 2023,"ASA NORTE/DF - SCEN, TRECHO 03, CONJUNTO 03, LOTES 2A/2B",Plano Piloto - Asa Norte,2023-06-23 18:00:00,2023-06-24 02:00:00,PRIF,,2023-04-13,,
00050-00006122/2023-28,ENC,1º CPR,1º BPM,0,JUNINA,ARRAIÁ DA ASSERTSE 2023,BRASÍLIA - DF - SAF SUL - QUADRA 7 LOTE 1/2 - EDIFÍCIO SEDE DO TSE,Plano Piloto - Asa Sul,2023-06-23 18:00:00,2023-06-24 01:00:00,PRIF,,2023-05-19,,
